n,x1,x2,x3,x4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35
455,0,0,0,2,0.01558333191420685,0.2702772689777809,3.086322899874476,379.094069529632,14.6042757515573,-4844.344004341826,-282.554613593811,2150.354432203222,10.95823754989411,1757.536927571231,8459.507988406562,-2948.692057223523,1473.900904486802,6607.110637575796,48.02863061752215,116.8905971152517,-30.07865335692671,-1.141374864471036,25.00932592206302,-44.95429812707504,11.25482457992494,73.44520387746161,-92.18509585029486,-38.9039935366407,47.46120472438421,0.3742002784418871,86.83158657000891,104079.2511187786,8925906.537746696,42800.37688543543,3047179.31171576,2.914027406728743,2827.660562535078,1.196551629563788,4.254278748829895
456,0,0,0,0,0.01014570538360664,0.2711860967277678,3.379639164591077,382.947519364351,12.07682553732256,-6495.487965664177,-62.87237554397245,2932.844321150436,5.313819174513857,1603.216052929931,9523.569520013218,-3576.703531742728,1542.329565771319,7443.567221933003,44.92803757864532,124.7018852829062,-23.37343236626869,-0.7015780685805204,17.82222416029758,-71.8106333569977,9.126175656852787,85.41715459283192,-93.73357523098312,-37.01820794514693,57.45008655784194,0.1618711321538082,67.17551690593012,117571.6998821913,9428738.142034456,43477.53444031031,3263082.149656425,1.627108427071972,2777.811259914156,1.295524441117346,5.616888790988583
457,-1,-1,-1,-1,0.007622805135039423,0.2134332767621415,1.48155303923715,358.3246971012346,9.72265563348671,-2645.927308451439,34.80719670639145,1669.378081960809,4.314025197765828,928.0363318132763,4660.145663035628,-1809.527126452818,961.6393514171797,3630.604585745214,35.00471308511709,80.1060807028442,-17.06245198101753,0.3142465306289523,22.47395180052834,-44.25382954159734,6.460527760943458,62.14412408596586,-76.0431531158189,-28.54340308906314,45.75113769178139,0.2889586096419414,47.78065230314647,74361.87041582292,6477017.534051859,32582.49501150501,3027898.430724588,2.196492101504059,3546.721810834937,1.775573646383563,6.789998693907193
458,1,-1,-1,-1,0.007626524278105234,0.265171278832296,2.321152691866057,390.8601744615473,11.54173462047913,-3734.959494982182,49.61737917291263,1887.501601827367,5.347510490885096,1156.165215137235,5073.084084796985,-3043.869170675574,1201.993934626866,4010.183676154127,39.37516763696132,91.06807802250117,-21.46910233269318,-0.683413744216282,18.89691692655748,-41.37459245493445,10.00779887465063,80.04118905127869,-78.79026482635949,-32.05116817426696,45.21464408770831,0.07920540539465017,59.79326566099044,95703.47005357544,8418571.828021435,41004.97659923071,2949436.303335886,1.086513761027463,2625.529490371494,1.564343759034667,5.767342595841503
459,-1,1,-1,-1,0.009246870220938935,0.2188747432340441,2.145029230170183,343.4500370327772,10.02070219869752,-3941.65649385177,-242.0331531855964,1924.947638714748,2.444095697985712,1142.436412376801,6873.227168262931,-2040.245498260058,899.6498853886975,6186.988441686623,37.45736273518769,105.6033224610107,-17.36644905569807,0.00651779354839262,12.48489948667245,-65.50454035534398,5.287539136903411,73.7280229648083,-80.07315566935266,-29.28123512580195,56.36996838480005,0.2781548107927386,45.04418809790665,110186.7194982298,6552625.134318043,37421.61504068903,2942667.898431817,4.446927126686459,3489.256527833035,1.400374500995532,5.909654425883189
460,1,1,-1,-1,0.009113003205001635,0.2579085182662111,3.498429780412989,365.8013244546302,12.3249664128991,-5776.701358739066,-432.4089440559368,1808.127054314124,2.597535703389185,1840.552635840327,9192.046525256106,-3229.718113021355,1407.83960103006,6881.825271433606,46.94291299565428,122.4231624211988,-34.60295841899769,-0.9173795157723919,15.99797277010035,-53.19537778391327,8.63601374126985,83.05667949766728,-104.4381302758047,-39.72110615929865,45.15616219240222,0.04630650239220797,61.68733558743895,167257.5082187082,10080459.39381832,51069.25065800463,3242652.454078091,1.503110696074806,2595.483142152827,1.217261009260439,5.875252410359749
461,-1,-1,1,-1,0.00818522609010527,0.2235892269466455,1.658376501853199,362.4964068704774,9.88222144001262,-3585.990409683734,63.66707420473793,1984.62774096971,6.447367179075393,971.680200109498,6996.86096745335,-1998.848045532516,1037.485530410003,6946.400301863124,35.54415504441423,106.7151867699151,-18.14701599202272,0.213586944351056,24.80582687352808,-43.56509074552739,7.201319705026669,63.0665307636443,-87.64591968332421,-28.49938048268451,49.86034105643462,0.3138826697924045,58.29247814602661,79506.77000148513,9370550.182491586,33018.70193207986,3283574.490797169,2.943607329984194,3526.404073391486,1.626060731942129,5.794069087633979
462,1,-1,1,-1,0.008531612471541609,0.31033894203711,3.286962417483877,430.7290304118048,11.94240428113027,-7148.890689079157,-71.316967394984,2116.222970766449,6.93505229858815,1475.018254487032,10507.60620118015,-4189.877621958476,1402.447083640999,8684.04356342168,44.16843162892638,130.5769461544014,-45.51636349921147,0.4859673623924693,31.79041532989916,-66.62545603608496,11.26419469059383,83.74777390882328,-101.5412550729403,-35.13340318987716,60.01203331079342,0.2647760428908189,80.25332818815812,134683.9534114733,15259851.42874748,46382.55179961852,3564452.934428941,1.745097660700271,2547.866333500052,1.38813053603523,4.84497958779435
463,-1,1,1,-1,0.0102468827543305,0.2323302199617728,2.413136623298053,354.3019645644827,10.23136542274678,-4242.372600936528,-132.8647028390342,2206.91967981418,3.732941874266516,1176.707211014676,8066.719722489167,-2670.63697365016,1046.0226337632,8240.982936382616,38.25671742158191,110.8409064188811,-15.91975137222361,0.1074172737218713,16.25260400434641,-59.40473616990495,4.513708762499009,71.11982838458893,-103.8519968497572,-29.62599959623208,63.82509242125361,0.3021557499967179,53.19940391203527,102695.8880463542,6178180.623683552,37871.98119175604,2961713.699066897,5.978667699401978,3456.356762512697,1.423172517835586,5.736171113682656
464,1,1,1,-1,0.00999071323084449,0.3390733530378923,5.102351586796594,454.4441286131342,12.74513912537253,-6054.89448038793,-378.9127370678867,2968.710689865457,16.33249795799455,2232.025532189991,12580.26018298155,-4817.126782443363,1854.16388535635,10666.08533027178,52.55085509321897,141.8090922948535,-31.77683014756921,-0.2293790963815265,35.43167577390484,-61.59828357011997,10.32191819280223,71.8335455855412,-131.7181111378762,-44.48210625974796,39.51490181688792,0.2404144064269905,103.5568742791943,194305.3666959202,19812470.38884834,51740.82897862574,3522431.869671902,3.60638699057923,2373.803642460485,1.250169149894249,7.023907361521802
