n,x1,x2,x3,x4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35
150,1,-1,1,-1,0.008430319971700772,0.3101705148106405,3.244536401290615,432.7102978228141,11.82624052224561,-7065.388395859957,-67.82133923178576,2163.37278173081,6.823032237812202,1434.975917054853,10392.43306750255,-4119.163622292641,1368.833503922892,8615.115103972894,43.69095999122572,129.4814556599524,-44.28921394596568,0.4785472103461741,31.64060840396656,-67.48934530604333,11.14871215743851,83.67558324448467,-100.478168230587,-34.5436910414681,59.30908007973753,0.2766114079180705,80.36683778158208,131602.3185035309,14239778.16744561,45698.08517224409,3504345.202084905,1.885236550986454,2598.519909716897,1.400499409180359,4.918850743475902
151,-1,1,1,-1,0.01041703761932056,0.2322267178670688,2.381776216766588,353.618365470048,10.23397229704153,-4127.921377772323,-135.6501134205582,2176.241093207778,3.729937671656117,1166.508416653288,7930.665217731835,-2713.81345282878,1032.918556321502,8231.903791959145,38.16819276215991,109.9683014061377,-15.23914001815123,0.112412561389452,16.0973219735025,-58.21605213682632,4.563887905891063,70.92628187393889,-103.7935580271322,-29.52247513291378,64.2682244070504,0.3018565753448872,53.66077842597297,102501.9219434491,6372221.161535866,37890.95340607087,2961337.11703022,6.062579786686944,3472.072822855548,1.425801994110348,5.610590859444972
152,1,1,1,-1,0.01056366899989887,0.3399824801357887,5.241128618591502,453.4163207079369,12.82879601099006,-6063.150938300437,-391.1897661195692,3087.555323482437,16.95023302428152,2299.060825926465,12897.9184983959,-4910.902038388156,1897.880981794703,11005.7138683941,53.34330041704435,144.0772257373564,-31.07268803721931,-0.2412127032981542,35.71410407812753,-61.71208923127833,10.13192029017661,71.45724678338598,-135.1783573281228,-45.20693019048502,41.04142820201865,0.2408112292959157,103.6925405548566,202081.5330941232,21429479.4269432,52309.23694846215,3604771.997342173,3.940179504947909,2379.324501385393,1.233812054916264,7.101950981977291
153,-1,-1,-1,1,0.01185835659197132,0.2459594950574065,1.860081706390717,378.8519232536026,11.60669120386626,-3046.958096572465,46.83933709170122,1825.3236152561,3.635498413876508,947.4486349185763,4808.838350651095,-2424.696948443232,991.7295960779337,4013.365923282929,35.92178325500871,82.44349992016022,-22.51277971057944,-0.7836710710962544,19.44308130110929,-45.13107441989633,7.359942524148951,65.9389282049834,-74.7688379272391,-28.4394548840285,45.33763480330212,0.1663864402328135,63.29825769187895,63519.63670115561,5741419.205566035,32389.3357977543,2880277.735046129,2.119410673597527,3483.081172209249,1.583226554180882,6.305023352830409
154,1,-1,-1,1,0.01183097095228236,0.2740530241704911,2.349255858522847,395.441820041614,14.30765037483803,-3620.338502997985,-75.44054810421606,1948.892122317131,2.185278001858902,1199.775559814484,4740.609187938104,-3174.039374180705,1121.642030162176,4275.731564889093,40.53449098547565,88.09184518952729,-24.91793739568154,-2.721693123520611,20.70300353073875,-32.19807068934701,12.05557626552118,75.05988934065294,-70.80657582444186,-31.42937949373926,49.59133943058183,0.07649556083111499,73.12223362767477,93006.06700190407,7683406.480382961,42254.21666264135,3035445.866816321,0.9082713192242533,2602.662933382282,1.415185077099569,5.485312684512253
155,-1,1,-1,1,0.0162152656203351,0.2510559208734729,3.013654503144146,361.6001284300575,12.46938844787844,-5556.155292638001,-596.8511685179315,2485.383102228468,5.603962105312418,1540.034269091566,8871.551967785403,-2370.505388660995,956.231031169457,7008.657537649598,42.95540994340295,120.5591670722913,-37.21293534196278,-0.8046852005139133,25.61991110516193,-63.40284487598122,7.388124041831699,83.41204490268416,-87.68658919717377,-33.30998963701342,54.76682084843205,0.3161596506033121,61.73531257627275,152410.5814107378,8863409.560863815,41942.41316057715,3162276.173717905,4.581775080417749,3694.001923516323,1.376443611329363,7.066609591211756
156,1,1,-1,1,0.01564641851465724,0.2156319478927158,2.468657591438638,320.1416753410534,16.28709468883799,-3516.74516932758,-530.5003187589733,1697.823615624538,2.721472119688042,1676.304662352249,7294.757918844441,-2317.83108360685,1259.748770639562,5979.831248501931,44.82239740894343,109.2206150097626,-28.48142747949307,-2.746894598331814,16.73089496241027,-36.9068192931416,8.52983242003531,68.2245464437903,-93.43986811361758,-38.95591193268037,38.15350241586013,0.2655736963171737,43.55316388559151,144832.529885152,7577220.594132305,50781.9834100665,3200424.950422033,1.916727941134868,2113.198152070275,1.27011552442867,5.397530658308786
157,-1,-1,1,1,0.01258032032661084,0.2627895841057172,2.253524638206966,389.0445808274072,11.73790729113394,-4711.310005670521,93.93976847697448,1841.667213110906,5.578470714639355,1118.498610442413,8004.551639512069,-1980.776257756128,1214.352248704267,7456.500127623018,38.39114302158653,113.5371833796357,-22.02490852081258,-0.3238102462592368,21.97067490269834,-54.02659738386195,7.788280883830391,68.97839955195502,-93.55592923560526,-30.05453449140332,50.197341672829,0.3413649567268553,69.86473040328097,76693.3605600522,8679602.304423332,33089.26513179627,3293815.765155769,4.107932156372072,3208.157041500633,1.407257464784052,6.592082209026033
158,1,-1,1,1,0.01275040197454512,0.3172402744047844,3.383849468354605,434.424737668728,14.88245539855792,-5474.198704936567,-111.9855443007109,2671.879796114044,14.0378823961032,1644.579444374628,9551.950993255592,-3594.928572835639,1530.465735623931,7784.534842876614,47.0289825074814,124.2281715328632,-46.09803554648057,-2.502397714057311,38.06340497931878,-49.43207112440136,12.6179429292006,76.5077390010268,-103.036263059153,-36.24238983474658,51.30676764388825,0.2867304876715059,82.148765062544,122311.868551822,10580643.00567018,46712.80341792514,3354485.289590695,2.556701211017966,2333.296200490181,1.251909243503056,5.00307359636016
159,-1,1,1,1,0.01739049512617631,0.2653234751852185,3.130807842929455,378.4855601778174,12.5949782087224,-5484.182930790927,-324.4367557139723,2157.848601498652,4.656396526181798,1471.430421061345,9718.352461950257,-2296.635006019605,1139.762374815643,9360.57424346563,43.03925764165429,124.4984343853717,-26.3188315775997,-0.6318275739694899,23.86796193823648,-52.56238290355694,6.54286118561979,73.14116733312717,-116.8761192035251,-35.23351506619976,62.18344695344383,0.3566089939090866,70.5938839927205,137569.3454140556,10961965.90417992,39882.42397707572,3376005.471395043,5.865627958648416,4068.737184392274,1.472053841864212,6.360595698239229
160,1,1,1,1,0.01724831034637768,0.3894440775889946,5.805577017149589,449.259913877283,16.64665733128856,-7623.299504737492,-708.0982763054822,2003.033076431373,24.91194282808953,2658.920902991933,13401.87125558078,-5279.05525321682,1953.993419720973,10091.43732805794,57.16843628625983,147.575838535596,-54.16078108915396,-2.91506611019644,41.75803899237506,-57.60248696217178,11.4918718834565,70.4364268788822,-141.5261971029429,-48.48544690777462,43.16099390807003,0.1676806828909352,106.6545320579331,177072.8915613201,20449658.57359298,54407.31073367081,3937506.922233724,2.392086306308467,1947.214300160601,1.124921700233581,4.91090147526613
161,2,0,0,0,0.01039525212225962,0.3505247490894179,4.657120426142384,465.5329474914788,14.55355335512724,-6447.76093540522,-428.6451641710133,3690.264121537307,5.709328047946729,1885.462378816613,10597.0016595685,-4115.925281391319,1450.538522013379,7376.041696155501,49.24100659120262,131.9233279911648,-33.35674050320652,-1.845465269128411,25.05705446805463,-50.34897688087457,12.64113865505802,90.1547841623955,-104.6642203722699,-40.01594439393332,43.00210609960946,0.07526559727820126,97.30326446527091,193163.2630239653,14497041.79084744,50485.69760038231,3553051.802802953,1.453688069968946,2391.980659219993,1.263873879957669,5.501804871861149
162,0,-2,0,0,0.01003622064255633,0.2550896537165628,1.97898921645254,385.6103624797775,12.39085048304928,-3503.00757653142,261.1741278694477,1865.629038154616,1.980435940404363,1010.570692305925,4852.234369440045,-2712.733411377961,1269.655714770172,4123.96396975223,36.77840954265628,88.93827459820581,-33.41443432212852,-1.01572391277919,19.62056882311909,-29.33577479104731,9.596009841723955,70.47147491515693,-73.89211586751892,-29.17502260265588,69.83365341815164,0.1161327340016643,59.53969239336065,66930.83128875532,12118516.37168774,34931.79519763235,3237863.778070709,1.18245903951822,2565.441677936405,1.494231543990392,5.410431587882024
163,0,2,0,0,0.01967538713342439,0.1839608638223576,2.434786106388985,284.8459192342063,14.70109043879358,-3644.300409641644,-561.5406490757657,1681.376739138366,5.014774146798879,1865.489982440334,8980.511258089475,-2758.609669937318,1307.562753645951,7608.421249014769,45.84887016148858,121.0961454008607,-27.91864314967743,-1.592938171402877,21.60646321585747,-30.37582795120464,5.097143324849267,66.08026623017419,-113.6328310437031,-40.49035857216551,53.09599017223444,0.2163864016114856,29.4024251637205,194734.4091446506,26870890.89299429,50319.71723819897,4175186.886881433,5.31717381123111,2719.483468606733,1.315781760412218,6.769655596318639
164,0,0,-2,0,0.01028904475047526,0.2243389535237877,2.165364011874752,343.4068342950292,12.07176526491417,-3527.874836001969,-38.32205703553911,1541.977592006113,2.083438720458824,1174.159966076073,4306.541663250868,-2062.61198624785,877.3748174817048,4918.461562002698,38.99622879867261,83.96074339407434,-15.97813588430867,-1.427536452565032,12.60029957389775,-43.08092599478411,7.758090187665427,70.94334895391717,-75.55911427498796,-29.23260985460296,43.26358183361851,0.06386246245271043,45.90999749694232,106537.8911297609,8248166.359900867,38970.29535857759,2745093.005551637,1.129326051536204,3367.364885244832,1.652521717947065,7.983491898096402
165,0,0,2,0,0.01230505248390324,0.2343280906237915,2.40830836162933,370.0923115309193,12.64138365452944,-4319.881698905841,-27.89380246460933,1545.145160049023,7.350182140444546,1238.754365663558,6677.767220407123,-1956.873793473665,1185.803151683797,6499.805825478123,39.35269859215531,97.46114039871618,-17.66889881787147,-1.447905882673717,25.93580635164626,-42.35799022513808,7.423427728085565,60.62077562855016,-90.59705117216369,-32.35678396303839,36.4663691772955,0.2333605780204654,54.58568333217583,77742.61838441914,5663983.672100121,40066.08992899881,2747742.914120398,2.555353976319372,2779.24837490852,1.676384038230273,8.567402064082103
166,0,0,0,-2,0.006044266637044696,0.2101234987271688,2.169148172898049,335.0044996932659,9.558860580306584,-3531.570032473278,35.00567943209409,1951.582565544147,5.056008191618949,1257.931751013482,6526.289517829456,-1629.81333148255,1291.154974799757,6286.711291114986,39.74094063348815,102.7560342610135,-11.58958439692305,1.063851185516455,17.27694652379461,-59.24679162538586,7.588638762237433,66.13172142611184,-81.34682965409466,-33.51208757896045,44.16780383576341,0.1851849167366239,41.91306532144871,117059.4012332408,8764604.296551364,45122.62025064031,3296809.460760046,1.336040797752263,3049.799290708931,1.512458209079478,5.403110402924558
167,0,0,0,2,0.01475397861820007,0.2715428306627465,3.107999880963561,380.3080685765343,14.37184900904146,-4822.115907495515,-272.7342995747399,2169.968176477289,10.7321192973559,1740.746382328784,8365.998105170078,-2891.228359706683,1464.601030060976,6594.299730187563,47.74951272830954,116.4972471950966,-29.80359437292334,-1.075978362814169,24.48402060091258,-45.61491203643278,11.23974581119834,73.84773855834092,-91.65133801899854,-38.54111323272439,47.73076243615238,0.3616034135330012,85.99455212930071,104948.7583081518,8338346.030678278,42975.24821806749,3024009.82197341,2.801380532047147,2815.747040945274,1.201791365338334,4.260061804353337
168,0,0,0,0,0.01023401832233687,0.269440522313318,3.331672609897055,381.0548486953574,12.05977925803636,-6396.656603366934,-59.53716274088272,2897.532910819075,5.348331722763474,1583.115401481029,9382.303237224862,-3496.33295736711,1522.678318205134,7383.31183691229,44.5876044312319,123.6073081422768,-22.50555574621023,-0.7036471392140546,17.51908431752187,-71.29347902777143,8.969339226937272,84.44916516357735,-93.00576204916375,-36.73016167137671,57.11761029415,0.1661393188185094,67.03719759365624,114447.0001235325,9310294.622189354,42720.35165499413,3253471.680350907,1.668939326585912,2832.210194920147,1.307310582231607,5.66266494089568
169,-1,-1,-1,-1,0.007617138898453167,0.2139879060326861,1.501566697750299,358.8420900228106,9.703979149571264,-2650.181911156854,36.00505172147626,1685.342629823858,4.36501773097334,932.5539393016487,4727.635078916001,-1843.44084003044,967.5478721905714,3718.830223797876,35.02305717711897,80.53411122403539,-17.15206174116273,0.3201341806031803,22.55345709830823,-44.21686100835331,6.405409301038548,61.9225817220272,-76.85464555990588,-28.56611389634432,46.19052689027918,0.2883884484368218,48.06471587770937,74876.75025578972,6639639.156147375,32567.29234760617,3037484.749626445,2.237974827294638,3545.056879859116,1.773444385917826,6.780028181038679
170,1,-1,-1,-1,0.007489075776163031,0.269111872946062,2.40784869412172,394.2295233596531,11.54022660692983,-3844.377253773199,52.5100983792806,1899.41107391295,5.678318559776474,1170.948369018405,5284.134713666676,-3061.105092094157,1226.188929111698,4246.680288227662,39.51517986562268,92.56974516141378,-20.95159773424018,-0.6629320660958483,19.22063562640539,-41.63722675629275,10.01526063834631,79.48401476101249,-80.7483371292994,-32.33898880880013,44.90843078139633,0.08068765862427162,61.51050153597532,95164.98530133707,8365621.241346736,41078.31901546367,2961998.630033069,1.098959305196611,2606.671362087651,1.567086854799214,5.761561964683854
171,-1,1,-1,-1,0.009300223767811115,0.2195783515825351,2.158767431662295,343.8729847408355,10.03495229288815,-3975.359293658711,-244.5368113942931,1929.146841834988,2.586969018935657,1149.320585930994,6964.521190684115,-2051.641469125338,904.4464087442872,6278.433614466333,37.53786446290812,106.369212185552,-17.75158472732971,0.006925408799995382,12.79518053958912,-65.6082482273852,5.297933811235616,73.66349419741725,-80.69205946086667,-29.33317618009906,56.72206660371974,0.2822787308977841,45.35244866077264,110858.2752512857,6741795.550506149,37447.96652089654,2960403.207156078,4.495433472693799,3490.566653748661,1.396576056839883,5.891391142751367
172,1,1,-1,-1,0.00926756834410825,0.2612099778682018,3.501773239132058,369.9430250790305,12.29491874635332,-5786.04622194795,-399.7124562512404,1847.610822683218,2.79865519076066,1822.186334832275,9214.807477562834,-3312.464270956194,1420.989904364145,6980.059044897415,46.79651942330469,122.3176914005514,-34.54152501848818,-0.8970104352932625,16.65283144502667,-52.72935112385126,8.730968934406283,82.81461459483576,-105.1596458755079,-39.50047345658885,46.30200263059681,0.04740188555167348,63.33553395634912,164514.8400796875,10406780.52607434,50618.56597528191,3258502.399427526,1.570248381864564,2599.943905040047,1.224910568103577,5.854493949052316
173,-1,-1,1,-1,0.008293125186774325,0.2189858156315815,1.5978601446042,358.306438639554,9.928996578284892,-3484.863336553497,60.68824908801272,1984.343719616785,6.424021306055448,975.3555193662617,6947.378953573483,-1902.247575697066,1037.627122930886,6902.85426981205,35.64461819881259,106.7222000807349,-18.10012216842851,0.2263812473020704,24.69375217357267,-42.62919546804707,7.185948601147912,62.9037482870786,-87.15400066027135,-28.54498879942062,50.06377137158622,0.3254268132231746,57.06522465988353,79882.15519103261,9345449.460856756,33137.27972956843,3280415.829474128,3.06059374901468,3528.431900410423,1.614246660419786,5.738158218745306
174,1,-1,1,-1,0.008327312386140841,0.3116200038023846,3.305716822707514,432.6831644411338,11.90412034614747,-7130.876767474342,-72.27016105445351,2165.14836121007,6.722918974379651,1462.690929024068,10431.29789885557,-4218.69813378661,1386.080615960528,8648.154767812055,44.05770481390183,129.9256024129035,-44.24654779654018,0.467275040748975,31.15649982107799,-67.32650904439583,11.27360131315715,84.22201547941083,-100.6408777729593,-34.88561880909749,59.5854354847496,0.2621367377274003,81.15823984743969,133898.7939842231,14784882.01300756,46174.19656736451,3517720.329141656,1.783229364100561,2557.933038369206,1.387795971087935,4.883888782207447
175,-1,1,1,-1,0.01026398500076528,0.2290820819558581,2.381600894233672,350.7861594868603,10.15120434774242,-4294.046398667285,-129.5613739004883,2142.761798117867,3.485671745230165,1167.418835822544,8015.511474269454,-2631.317482679603,1036.956268665785,8258.96764673805,38.07057126760139,110.5641755960333,-15.0432043769338,0.1151841176353935,15.64215526787759,-59.72808700825003,4.364049279247599,71.02884195509613,-103.5906319527513,-29.54465467138969,63.65792470816409,0.2950274970666703,51.46595290867024,101128.5270098545,5936435.634314951,37987.73449902207,2943134.496075838,5.920094932658363,3451.684376908885,1.433579513398492,5.795084997066707
176,1,1,1,-1,0.01008750131922496,0.3390983367615308,5.168672957657908,451.2540440900533,12.7704495288027,-6209.561543547418,-393.8194774074608,2938.682795008339,16.94534228574001,2279.705664457711,12867.55477622315,-4889.545377002381,1879.822276616847,10931.31073658343,53.09299811570923,144.3615639613459,-32.35062379943608,-0.2374629868571392,35.43406215071357,-63.41962182645121,10.19200593867112,72.30152544800652,-134.0340419257905,-44.97506922604765,39.5393604170569,0.2366733953305089,101.8668738767541,198457.9198227921,20420162.14766502,52636.13677381945,3560929.303329902,3.665763061756878,2317.238996752856,1.230792045533351,6.989053981817213
177,-1,-1,-1,1,0.01203298476999527,0.2442636159832685,1.851208577421517,376.518932690183,11.54956235516035,-3034.466215148731,46.51394540302741,1858.415450880864,3.533777467286787,943.9487530387196,4792.878723720592,-2368.723207696206,993.5046176270421,4034.412897296737,35.83654637100555,82.6159968839303,-21.89096568679841,-0.7560252125251351,19.03562607730331,-45.81887386684535,7.284314806504713,66.00340319104025,-74.0518053125063,-28.36477165490287,46.01488024522561,0.1702993117790418,62.98869437310562,62182.11841918021,5329503.070243145,32227.81942826967,2868201.867817696,2.168893910967375,3506.810254423835,1.575702128513284,6.270953185754554
178,1,-1,-1,1,0.0118322059215899,0.2737161564464138,2.345661208332012,396.1214309578197,14.24923192861245,-3610.521147307184,-79.48083549233964,1951.578761883463,2.164423915028461,1192.517860958954,4782.857714053556,-3137.642465693582,1115.944543256871,4312.232499780645,40.35760815132579,88.23082796735689,-24.57747293735961,-2.694640038921864,21.00118354254436,-32.24997410506165,11.97761376088954,74.46025293622533,-70.86013336105061,-31.37086543420274,48.47253055401649,0.07624115393271622,73.58864101693082,92953.0096500017,7643199.060609988,42078.94284773993,3044902.954134655,0.912006354800556,2624.656169646917,1.422220588471347,5.58573599183176
179,-1,1,-1,1,0.01520818279870362,0.2500553049934091,2.956931342199022,362.6902263199401,12.18430997519042,-5457.098475104902,-596.912353317183,2480.104914215267,5.741646124970895,1510.01297988396,8641.224774215001,-2354.509248641305,928.6188259159833,6754.059288744762,42.48958625726309,118.5718106422189,-37.77341193207297,-0.7547159162471606,26.48215356857545,-63.30147478369135,7.389283144472088,83.71294804937507,-85.89160987845386,-32.82427261330679,54.15826418661458,0.3107170004934616,60.75226938868168,151940.9360484296,8446528.44532873,41692.64767640205,3126749.091265009,4.481329572115422,3727.140853312687,1.406167124889132,7.249635566286896
180,1,1,-1,1,0.01605795697281323,0.2160838890879058,2.387360038071225,321.1220204010589,16.33834548664924,-3498.207948927776,-547.5912767469024,1594.406472590007,2.55370355986441,1631.228818418574,7130.945663836015,-2261.253096472449,1197.964735720209,5870.008881699679,44.18981833364763,107.8073681371089,-29.02893831958131,-2.783444932156237,17.23792508340698,-36.26069469308938,8.491716276084349,67.82071749512146,-91.78972613468802,-38.18321423286662,37.15362762976817,0.2691882161640262,43.7142036180227,142178.5572431019,7399125.146847106,50255.59509131985,3191240.482607936,2.01131696584753,2141.190949805131,1.287525469314877,5.490899370770915
181,-1,-1,1,1,0.01289108192545812,0.261874932781615,2.243757557509587,387.6227148994312,11.83457345632783,-4834.909292901391,100.6928855332555,1880.693590172132,5.343203210389364,1124.058751681768,8098.756922017848,-2018.949518323426,1226.252914195444,7526.482691018054,38.56498304680503,114.8955773344994,-22.87011571645757,-0.3341076345055839,21.90120565534276,-54.6059965533221,7.90431075131942,70.4197803575869,-93.14391459172431,-30.14316962823161,51.85615563143828,0.3436313298414524,69.31780334369098,77797.50239414827,9094580.02525358,33257.53729868702,3312468.57241606,4.143981798960278,3195.864316838779,1.393141229872087,6.57917522592595
182,1,-1,1,1,0.01277559990022835,0.3238721861734434,3.530454598288836,441.4434805467147,14.86871567755712,-5831.289773960816,-112.5616745571382,2795.279806992876,14.54481649925464,1677.098938209459,10021.59761076383,-3680.265442369908,1557.488168568221,8115.315577001315,47.69275668406788,127.8475489330803,-47.32073647314469,-2.431000053295789,38.84804958827887,-52.69786066373837,12.84015261253041,78.34455365794405,-104.6889801560764,-36.58483490225816,51.99269193999643,0.302751467532249,85.10403064729138,123848.8855544742,10229690.0721229,46931.21561578248,3326420.015585528,2.651752653076403,2353.325569419616,1.234096746860808,4.960146495512965
183,-1,1,1,1,0.01759375401794027,0.2600568362054662,3.115810952262438,370.3721249946523,12.59222778637605,-5486.096740998878,-331.7273037558511,2012.706300844158,4.667219430187999,1504.386573065282,9837.409304953586,-2267.036945406011,1164.586511215217,9536.40331356397,43.24084702275243,126.0387009927066,-26.12814884372397,-0.6252668099109935,22.82125107196644,-52.38338920305462,6.212785572132542,72.36987323302182,-118.8847122586627,-35.7331854439232,61.97656666477535,0.3423989166859283,67.1410459201357,140369.9247171193,11764133.27708232,40729.8963755712,3427760.256627368,5.895130221636548,3989.811935042058,1.44907642552063,6.314614145265332
184,1,1,1,1,0.01738746207408896,0.3814463401283881,5.747677415342567,441.1689677300337,16.95928143640712,-7468.202826479096,-727.2158934610552,1977.934240359002,24.41113351714619,2684.650999036327,13114.28358344021,-5163.031900983204,1947.455048941349,9858.26369671914,57.60192508079432,145.9806470671795,-52.50860239697451,-3.043164303343456,40.4742427880776,-55.09403147950365,11.64763130011509,70.63786546996349,-139.7244681865817,-48.91844643184791,41.71938370105654,0.1725838191827836,104.5736232511432,179140.6176824525,20223305.11144729,54980.27725540368,3884430.757901077,2.2428583649017,1904.757015341216,1.127031969714041,5.026776615323838
185,2,0,0,0,0.01040676349784851,0.3613701655861201,4.851875679227696,476.6772692442486,14.61308777207493,-6812.49605930649,-453.5883492836916,3824.426097832034,5.437639248394953,1917.770679281563,11061.30482641447,-4264.435230130342,1460.975305537729,7682.168466560031,49.85225782542307,135.3407534417368,-34.83293425178178,-1.793113859443856,26.03029104477138,-52.57982530158726,13.08706207579136,92.3211632951962,-106.1821213546979,-40.42490782383111,42.82552928839103,0.07131221951096582,101.6259941315223,201392.17497988,14821830.74499367,51440.18202592649,3596095.615917682,1.381158250345439,2389.739826724563,1.25361862789256,5.502728478519108
186,0,-2,0,0,0.01049262329535648,0.2526741046455299,1.900776021219331,383.3416582394176,12.5075909277358,-3424.068288571496,274.3168517542725,1812.09660867598,1.996684965449566,993.2405477208373,4767.476109572867,-2678.489761451843,1269.36218119826,4102.704029786702,36.54054332805971,88.29049228010581,-33.53672214528358,-1.077653776334337,19.89695083299025,-28.20601675986475,9.527959683496169,69.59142012804219,-73.66370903611529,-29.01112907280149,70.25498263740897,0.1227275151841801,58.61969238088074,63901.83816573211,12371991.58861622,34613.27157622122,3253218.919606265,1.279310974686392,2552.114682326511,1.495777804294652,5.442626262407739
187,0,2,0,0,0.02026881433049993,0.1791646952036785,2.47036981990207,279.5249108172027,14.73540743316317,-3751.744195656032,-566.6103624207848,1643.734306433782,5.255338051200375,1895.89097469437,9156.34983057131,-2618.070160968288,1316.749371485533,7850.029703895443,46.11828834136726,122.1224212641661,-27.15182773680592,-1.62207698078957,21.49073719346427,-30.24000654336193,4.727805956179283,64.69076670248873,-115.5243229453191,-40.78409781069634,52.20395883487181,0.2187256672477218,28.35140812216441,193664.7341698518,26692427.26393537,50221.54006830736,4148891.532587741,5.416000465896691,2773.359120536825,1.323299780981192,7.044026223819484
188,0,0,-2,0,0.01039097443898415,0.2253809450383334,2.137698289927059,344.7962339292157,12.15303634430459,-3438.460029011921,-39.7993260502966,1475.399309717257,2.105788099358266,1158.617560490092,4107.849101271216,-2091.557533005834,862.5532762011512,4759.000134386816,38.80849576256251,82.03132882084581,-16.1355971348976,-1.478172940344597,12.73932888609269,-42.19470475890888,7.840287940123117,70.29364788042254,-74.51221623527861,-29.01783185004817,43.09187811078915,0.06569253849622453,46.63892625594404,103462.1600283325,7990637.962507937,38751.23968211707,2714306.35880033,1.091044353431011,3346.901015907244,1.660250185638143,7.95811173224193
189,0,0,2,0,0.01264430456324637,0.2335588548048041,2.396546240563201,369.7894765375836,12.64076183736083,-4310.057592061796,-29.54480324661613,1573.410546293536,7.588830232236341,1234.288849747441,6729.577362827052,-1877.263235621319,1176.241588340204,6592.946164196194,39.3267027321679,98.05346452224238,-17.66570366893145,-1.438132383001643,26.34990334456294,-42.51148051888098,7.397214016350198,60.37909180836844,-90.57865070940011,-32.19214496027191,36.1168964501059,0.2434833938219991,54.80294276364967,77590.34397584578,5524698.311595488,39852.18765958193,2742738.511216239,2.678540591001446,2822.231464854794,1.675778991823992,8.614805035564684
190,0,0,0,-2,0.00586678892353141,0.2110518169850671,2.180907499291975,336.1149789720245,9.483690600486966,-3539.272821145645,36.18137736143387,1916.181363453818,5.130808626026663,1260.996378551589,6545.387895724013,-1648.452219871273,1298.854270032459,6328.930165646449,39.8155979758628,102.8600578080916,-11.57990738329113,1.132689926809934,17.22180359883626,-59.81821227339874,7.637400860327259,66.12032472086779,-81.68739061035778,-33.57917659691913,43.96874646322069,0.1911329303208161,42.91552751081203,116057.0335163799,8382437.904247075,45142.74683242049,3271951.873890887,1.340956308165422,3043.459550080248,1.505919142024127,5.356182012740208
191,0,0,0,2,0.01505338258928138,0.2684029474779521,3.023114075586112,378.4160476460305,14.34449667157354,-4708.056020472623,-268.1464758096949,2114.524474866096,10.86284242778116,1725.835415350415,8337.804977001048,-2795.00300904174,1462.664698536656,6573.753072537791,47.46705565198361,116.1113165709394,-29.51222353871891,-1.11711675451845,25.19624610598807,-44.01591626650676,11.08848596501094,72.38606958306418,-92.27896027625744,-38.50872757772913,47.02617857088005,0.371448253997889,85.43152250975896,102689.2522484661,8464906.956301637,42403.15161581798,3052541.790876806,2.912875321510408,2862.727241349085,1.214663015440379,4.367170605308974
192,0,0,0,0,0.01013520077921606,0.2706890944825233,3.371465777839982,382.3855556313168,11.99718772749968,-6440.469535752772,-62.20208704454522,2899.70672717636,5.172706334972795,1592.067481614496,9417.110648796248,-3593.906300160185,1522.549432628844,7413.400334862127,44.67557683832236,123.4959675998557,-22.4823412985887,-0.7089146471149104,17.27057245776563,-71.49731592082207,8.914767535927615,84.75204528055457,-93.8008995938378,-36.76680985931084,57.09991288020331,0.1539530449760937,67.83191057274347,115660.3213760709,9437887.798787272,42728.16623656526,3245483.059493287,1.64901839304861,2843.683320091709,1.30687591316412,5.73261464549411
193,-1,-1,-1,-1,0.007591010376547041,0.2158139552231961,1.522171396484351,360.6310551664866,9.71617572476039,-2706.480775758571,35.54708028074575,1682.368915774776,4.475481618444129,933.7192908567821,4744.432416565541,-1841.058673011865,967.9571348336516,3703.524386071868,35.05363969488756,80.61991884037751,-17.36490259585304,0.320052554333048,22.83452054007972,-44.25660907932562,6.501623719301686,62.03684290619372,-76.59776072015461,-28.57450594550007,45.8764028121528,0.2877820890787268,48.95081249239195,74200.52070170201,6579790.325166022,32486.84274956991,3036025.093128365,2.183108315422913,3547.175583595226,1.777342971660445,6.803217294234619
194,1,-1,-1,-1,0.007555681985869559,0.2674009642715733,2.383627603143043,392.2247395783593,11.58651727994769,-3730.322912116832,48.43729124576822,1893.771305659132,5.684544711164454,1172.146922887745,5141.021871173842,-3051.594641713823,1219.869584696482,4127.047997762302,39.56943252562069,91.37669378846152,-20.84767786342322,-0.6860967600938348,19.0346146069314,-41.25989227519875,9.992859255282733,79.33739524327885,-80.10443347698057,-32.34698120008603,45.11606112407615,0.08066531586424242,60.67668600428697,95806.99861205663,8438566.502928652,41195.26585607407,2952786.284418992,1.132034384743024,2618.923763621819,1.566468617798621,5.734580615781999
